fpath,subject,session,task,run
/Volumes/UBUNTU18/USC/IBIS-EEG/derivatives/QCR/run-01/PHI7147_v06_04242024_20240424_045859/PHI7147_v06_04242024_20240424_045859_proc-cleaned_raw.fif,PHI7147,6,aep,1
/Volumes/UBUNTU18/USC/IBIS-EEG/derivatives/QCR/run-01/PHI7147_v12_20240924_112920/PHI7147_v12_20240924_112920_proc-cleaned_raw.fif,PHI7147,12,aep,1
/Volumes/UBUNTU18/USC/IBIS-EEG/derivatives/QCR/run-01/PHI7154_06042024_20240604_042857/PHI7154_06042024_20240604_042857_proc-cleaned_raw.fif,PHI7154,999,aep,1
/Volumes/UBUNTU18/USC/IBIS-EEG/derivatives/QCR/run-01/PHI7155_V06_real_20240515_104540/PHI7155_V06_real_20240515_104540_proc-cleaned_raw.fif,PHI7155,6,aep,1
/Volumes/UBUNTU18/USC/IBIS-EEG/derivatives/QCR/run-01/PHI7155_v12_20241121_111851/PHI7155_v12_20241121_111851_proc-cleaned_raw.fif,PHI7155,12,aep,1
/Volumes/UBUNTU18/USC/IBIS-EEG/derivatives/QCR/run-01/PHI7158_v06_20240508_20240508_043005/PHI7158_v06_20240508_20240508_043005_proc-cleaned_raw.fif,PHI7158,6,aep,1
/Volumes/UBUNTU18/USC/IBIS-EEG/derivatives/QCR/run-01/PHI7160_V06_20240430_024647/PHI7160_V06_20240430_024647_proc-cleaned_raw.fif,PHI7160,6,aep,1
/Volumes/UBUNTU18/USC/IBIS-EEG/derivatives/QCR/run-01/PHI7162_V06_final_2_20240610_053148/PHI7162_V06_final_2_20240610_053148_proc-cleaned_raw.fif,PHI7162,6,aep,1
/Volumes/UBUNTU18/USC/IBIS-EEG/derivatives/QCR/run-01/PHI7163_v06_tes_61324_20240613_105512/PHI7163_v06_tes_61324_20240613_105512_proc-cleaned_raw.fif,PHI7163,6,aep,1
/Volumes/UBUNTU18/USC/IBIS-EEG/derivatives/QCR/run-01/PHI7167_V06_20240815_090135/PHI7167_V06_20240815_090135_proc-cleaned_raw.fif,PHI7167,6,aep,1
/Volumes/UBUNTU18/USC/IBIS-EEG/derivatives/QCR/run-01/PHI7168_v06_08012024_REAL_20240801_043510/PHI7168_v06_08012024_REAL_20240801_043510_proc-cleaned_raw.fif,PHI7168,6,aep,1
/Volumes/UBUNTU18/USC/IBIS-EEG/derivatives/QCR/run-01/PHI7174_V06_EEG_20240711_035606/PHI7174_V06_EEG_20240711_035606_proc-cleaned_raw.fif,PHI7174,6,aep,1
/Volumes/UBUNTU18/USC/IBIS-EEG/derivatives/QCR/run-01/PHI7180_v06_20240927_103751/PHI7180_v06_20240927_103751_proc-cleaned_raw.fif,PHI7180,6,aep,1
/Volumes/UBUNTU18/USC/IBIS-EEG/derivatives/QCR/run-01/SEA6066_V12_IBIS_05312024_20240531_041201/SEA6066_V12_IBIS_05312024_20240531_041201_proc-cleaned_raw.fif,SEA6066,12,aep,1
/Volumes/UBUNTU18/USC/IBIS-EEG/derivatives/QCR/run-01/SEA7062_6M_IBIS_20230111_121138/SEA7062_6M_IBIS_20230111_121138_proc-cleaned_raw.fif,SEA7062,6,aep,1
/Volumes/UBUNTU18/USC/IBIS-EEG/derivatives/QCR/run-01/SEA7062_V12_IBIS_07202023_20230720_031437/SEA7062_V12_IBIS_07202023_20230720_031437_proc-cleaned_raw.fif,SEA7062,12,aep,1
/Volumes/UBUNTU18/USC/IBIS-EEG/derivatives/QCR/run-01/SEA7072_IBIS_05302023_20230530_010644/SEA7072_IBIS_05302023_20230530_010644_proc-cleaned_raw.fif,SEA7072,6,aep,1
/Volumes/UBUNTU18/USC/IBIS-EEG/derivatives/QCR/run-01/SEA7074_IBIS_05242023_20230524_034241/SEA7074_IBIS_05242023_20230524_034241_proc-cleaned_raw.fif,SEA7074,6,aep,1
/Volumes/UBUNTU18/USC/IBIS-EEG/derivatives/QCR/run-01/SEA7080_V12_IBIS_10272023_20231027_033030/SEA7080_V12_IBIS_10272023_20231027_033030_proc-cleaned_raw.fif,SEA7080,12,aep,1
/Volumes/UBUNTU18/USC/IBIS-EEG/derivatives/QCR/run-01/SEA7080_V12_IBIS(2)_10272023_20231027_034802/SEA7080_V12_IBIS(2)_10272023_20231027_034802_proc-cleaned_raw.fif,SEA7080,12,aep,2
/Volumes/UBUNTU18/USC/IBIS-EEG/derivatives/QCR/run-01/SEA7108_V06_IBIS_05132024_20240513_050040/SEA7108_V06_IBIS_05132024_20240513_050040_proc-cleaned_raw.fif,SEA7108,6,aep,1
